date,file,source_soundings,box_qc0_candidates,overpass_min_hour_utc,overpass_max_hour_utc
2016-07-30,oco2_LtCO2_160730_B11210Ar_240827165719s.nc4,177251,0,,
2016-07-31,oco2_LtCO2_160731_B11210Ar_240827165911s.nc4,138408,0,,
2016-08-01,oco2_LtCO2_160801_B11210Ar_240827154017s.nc4,168255,0,,
2016-08-02,oco2_LtCO2_160802_B11210Ar_240827154131s.nc4,199278,892,20.96,20.98
2016-08-03,oco2_LtCO2_160803_B11210Ar_240827154618s.nc4,194352,0,,
2016-08-04,oco2_LtCO2_160804_B11210Ar_240827154804s.nc4,166510,0,,
2016-08-05,oco2_LtCO2_160805_B11210Ar_240827155113s.nc4,161053,0,,
2016-08-06,oco2_LtCO2_160806_B11210Ar_240827155434s.nc4,191793,0,,
2016-08-07,oco2_LtCO2_160807_B11210Ar_240827155732s.nc4,165277,698,21.22,21.31
2016-08-08,oco2_LtCO2_160808_B11210Ar_240827155953s.nc4,162285,0,,
2016-08-09,oco2_LtCO2_160809_B11210Ar_240827160216s.nc4,173641,0,,
2016-08-10,oco2_LtCO2_160810_B11210Ar_240827160538s.nc4,32479,0,,
2016-08-21,oco2_LtCO2_160821_B11210Ar_240827160827s.nc4,119699,0,,
2016-08-22,oco2_LtCO2_160822_B11210Ar_240827160920s.nc4,170183,0,,
2016-08-23,oco2_LtCO2_160823_B11210Ar_240827161203s.nc4,182677,0,,
2016-08-24,oco2_LtCO2_160824_B11210Ar_240827161554s.nc4,189197,0,,
2016-08-25,oco2_LtCO2_160825_B11210Ar_240827161911s.nc4,158218,455,21.07,21.07
2016-08-27,oco2_LtCO2_160827_B11210Ar_240827162448s.nc4,201370,0,,
2016-08-28,oco2_LtCO2_160828_B11210Ar_240827162625s.nc4,188537,0,,
2016-08-29,oco2_LtCO2_160829_B11210Ar_240827162925s.nc4,162495,0,,
2016-08-30,oco2_LtCO2_160830_B11210Ar_240827163338s.nc4,170958,0,,
2016-08-31,oco2_LtCO2_160831_B11210Ar_240827163512s.nc4,189717,0,,
2016-09-01,oco2_LtCO2_160901_B11210Ar_240829170325s.nc4,142003,5719,21.12,21.21
2016-09-02,oco2_LtCO2_160902_B11210Ar_240829170639s.nc4,183711,0,,
2016-09-03,oco2_LtCO2_160903_B11210Ar_240829170946s.nc4,181909,671,20.97,20.98
2016-09-04,oco2_LtCO2_160904_B11210Ar_240829171402s.nc4,187457,0,,
2016-09-05,oco2_LtCO2_160905_B11210Ar_240829171625s.nc4,158189,0,,
2016-09-06,oco2_LtCO2_160906_B11210Ar_240829171830s.nc4,166445,0,,
2016-09-07,oco2_LtCO2_160907_B11210Ar_240829172032s.nc4,204126,0,,
2016-09-08,oco2_LtCO2_160908_B11210Ar_240829172402s.nc4,163073,0,,
2016-09-09,oco2_LtCO2_160909_B11210Ar_240829172802s.nc4,183157,0,,
2016-09-10,oco2_LtCO2_160910_B11210Ar_240829173123s.nc4,196509,0,,
2016-09-11,oco2_LtCO2_160911_B11210Ar_240829173504s.nc4,198611,0,,
2016-09-12,oco2_LtCO2_160912_B11210Ar_240829173712s.nc4,173119,0,,
2016-09-17,oco2_LtCO2_160917_B11210Ar_240829175439s.nc4,162294,0,,
2016-09-18,oco2_LtCO2_160918_B11210Ar_240829175737s.nc4,173971,0,,
2016-09-19,oco2_LtCO2_160919_B11210Ar_240829180046s.nc4,160275,0,,
2016-09-20,oco2_LtCO2_160920_B11210Ar_240829180341s.nc4,181906,0,,
2016-09-21,oco2_LtCO2_160921_B11210Ar_240829180637s.nc4,196552,0,,
2016-09-22,oco2_LtCO2_160922_B11210Ar_240829180758s.nc4,187068,0,,
2016-09-23,oco2_LtCO2_160923_B11210Ar_240829181242s.nc4,176072,0,,
2016-09-24,oco2_LtCO2_160924_B11210Ar_240829181549s.nc4,158683,0,,
2016-09-25,oco2_LtCO2_160925_B11210Ar_240829181849s.nc4,206912,0,,
2016-09-26,oco2_LtCO2_160926_B11210Ar_240829182208s.nc4,154217,227,21.07,21.07
2016-09-27,oco2_LtCO2_160927_B11210Ar_240829182417s.nc4,169745,0,,
2016-09-28,oco2_LtCO2_160928_B11210Ar_240829182748s.nc4,199060,381,20.86,20.87
2016-09-29,oco2_LtCO2_160929_B11210Ar_240829182928s.nc4,189783,0,,
2016-09-30,oco2_LtCO2_160930_B11210Ar_240829183432s.nc4,171728,0,,
2016-10-01,oco2_LtCO2_161001_B11210Ar_240829170345s.nc4,170436,0,,
2016-10-02,oco2_LtCO2_161002_B11210Ar_240829170657s.nc4,199182,0,,
2016-10-03,oco2_LtCO2_161003_B11210Ar_240829171045s.nc4,155481,0,,
2016-10-04,oco2_LtCO2_161004_B11210Ar_240829171329s.nc4,173098,0,,
2016-10-05,oco2_LtCO2_161005_B11210Ar_240829171528s.nc4,173956,331,20.97,20.97
2016-10-06,oco2_LtCO2_161006_B11210Ar_240829171953s.nc4,176353,0,,
2016-10-07,oco2_LtCO2_161007_B11210Ar_240829172218s.nc4,166986,0,,
2016-10-08,oco2_LtCO2_161008_B11210Ar_240829172505s.nc4,123719,0,,
2016-10-09,oco2_LtCO2_161009_B11210Ar_240829172619s.nc4,203644,0,,
2016-10-10,oco2_LtCO2_161010_B11210Ar_240829173059s.nc4,167769,0,,
